Capacité installée agrégée par filière. 

Type;2024
Gaz;12774.0
Charbon;1810.71
Nucléaire;62990.0
Hydraulique STEP;5060.78
Éolien en mer;1028.2
Géothermique;1.85
Autre;1045.84
Déchets industriels;1061.93
Biomasse;1416.23
Solaire;22856.75
Fioul;2978.89
Hydraulique lacs;8791.12
Hydraulique fil de l'eau / éclusée;11738.45
Éolien terrestre;22927.62
Marin;243.09

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
