Capacité installée agrégée par filière. 

Type;2019
Gaz;12131.45
Charbon;1810.49
Nucléaire;61370.0
Hydraulique STEP;5055.97
Éolien en mer;10.0
Géothermique;1.85
Autre;182.52
Déchets industriels;968.42
Biomasse;1210.54
Solaire;8533.53
Fioul;2973.37
Hydraulique lacs;8788.12
Hydraulique fil de l'eau / éclusée;11642.51
Éolien terrestre;16512.74
Marin;243.1

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
