Capacité installée agrégée par filière. 

Type;2023
Gaz;12754.53
Charbon;1810.71
Nucléaire;61370.0
Hydraulique STEP;5060.73
Éolien en mer;1003.0
Géothermique;1.85
Autre;806.57
Déchets industriels;1032.57
Biomasse;1408.35
Solaire;17794.96
Fioul;2970.89
Hydraulique lacs;8791.12
Hydraulique fil de l'eau / éclusée;11709.5
Éolien terrestre;21731.58
Marin;243.09

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
